,seqname,gene_name,start,end,strand,gene_id
1424884,chr8,NEFL,24950955,24956721,-,ENSG00000277586.4
1424900,chr8,MIR6841,24953796,24953867,-,ENSG00000283327.1
1424903,chr8,ENSG00000272157,24955941,24957123,+,ENSG00000272157.2
1424906,chr8,ENSG00000253832,24992002,25009777,+,ENSG00000253832.1
1424911,chr8,ENSG00000288055,25000436,25003439,+,ENSG00000288055.1
1424915,chr8,ENSG00000253670,25141394,25141968,-,ENSG00000253670.1
1424918,chr8,ENSG00000287185,25179113,25184234,-,ENSG00000287185.1
1424929,chr8,DOCK5,25184689,25418082,+,ENSG00000147459.18
1425240,chr8,ENSG00000284858,25276945,25277476,-,ENSG00000284858.1
1425243,chr8,MIR6876,25345402,25345474,+,ENSG00000274988.1
1425246,chr8,GNRH1,25419258,25424654,-,ENSG00000147437.10
1425271,chr8,ENSG00000253476,25425521,25426580,-,ENSG00000253476.1
1425275,chr8,KCTD9,25427847,25458476,-,ENSG00000104756.16
1425396,chr8,CDCA2,25459199,25507911,+,ENSG00000184661.14
1425486,chr8,ENSG00000289357,25508779,25509735,+,ENSG00000289357.1
1425489,chr8,ENSG00000253100,25593197,25688786,+,ENSG00000253100.2
1425528,chr8,ENSG00000253342,25776679,25777456,+,ENSG00000253342.1
1425532,chr8,ENSG00000285890,25820975,25833464,-,ENSG00000285890.1
1425537,chr8,ENSG00000254178,25834129,25840135,-,ENSG00000254178.1
1425541,chr8,EBF2,25841725,26045413,-,ENSG00000221818.9
1425643,chr8,RNA5SP258,26136880,26136998,+,ENSG00000199620.1
1425646,chr8,ENSG00000249213,26254883,26256628,-,ENSG00000249213.1
1425650,chr8,PPP2R2A,26291508,26372680,+,ENSG00000221914.11
1425976,chr8,SDAD1P1,26375913,26382988,-,ENSG00000228451.5
1425989,chr8,BNIP3L,26383054,26505636,+,ENSG00000104765.16
1426091,chr8,ENSG00000253430,26422593,26423929,+,ENSG00000253430.1
1426095,chr8,DNAJB6P2,26433029,26434065,-,ENSG00000251203.1
1426099,chr8,ENSG00000254362,26440491,26442595,+,ENSG00000254362.1
1426105,chr8,PNMA2,26504701,26514092,-,ENSG00000240694.9
1426146,chr8,DPYSL2,26514031,26658178,+,ENSG00000092964.18
1426272,chr8,PSME2P5,26547669,26548463,+,ENSG00000253208.1
1426275,chr8,ADRA1A,26748150,26867278,-,ENSG00000120907.18
1426378,chr8,ENSG00000240519,26771790,26772140,+,ENSG00000240519.1
1426381,chr8,COX6B1P4,26835817,26836300,-,ENSG00000253813.1
1426384,chr8,ENSG00000275115,27010486,27010746,+,ENSG00000275115.1
1426387,chr8,ENSG00000215288,27011121,27012371,-,ENSG00000215288.5
1426390,chr8,MIR548H4,27048853,27048963,-,ENSG00000221616.1
1426393,chr8,ENSG00000253899,27063996,27065278,-,ENSG00000253899.1
1426396,chr8,ENSG00000253903,27086076,27087783,+,ENSG00000253903.2
1426400,chr8,ENSG00000253888,27171914,27210783,+,ENSG00000253888.2
1426406,chr8,STMN4,27235308,27258420,-,ENSG00000015592.17
1426519,chr8,TRIM35,27284886,27311272,-,ENSG00000104228.13
1426567,chr8,PTK2B,27311482,27459391,+,ENSG00000120899.18
1426957,chr8,MIR6842,27433370,27433434,+,ENSG00000273836.1
1426960,chr8,CHRNA2,27459756,27479883,-,ENSG00000120903.13
1427110,chr8,EPHX2,27490781,27545564,+,ENSG00000120915.14
1427383,chr8,ENSG00000289323,27508941,27509421,+,ENSG00000289323.1
1427386,chr8,GULOP,27560274,27589073,+,ENSG00000234770.1
1427394,chr8,CLU,27596917,27614700,-,ENSG00000120885.22
1427603,chr8,MIR6843,27610601,27610751,-,ENSG00000284280.1
1427606,chr8,SCARA3,27633868,27676776,+,ENSG00000168077.14
1427641,chr8,RNU6-1086P,27679836,27679935,+,ENSG00000222862.2
1427644,chr8,ENSG00000253560,27697217,27697526,-,ENSG00000253560.1
1427647,chr8,ENSG00000279302,27701194,27703789,+,ENSG00000279302.3
1427650,chr8,MIR3622B,27701673,27701767,-,ENSG00000265075.1
1427653,chr8,MIR3622A,27701677,27701759,+,ENSG00000284351.1
1427656,chr8,ENSG00000253875,27732915,27758552,+,ENSG00000253875.2
1427662,chr8,CCDC25,27733316,27772653,-,ENSG00000147419.19
1427835,chr8,ESCO2,27771949,27812640,+,ENSG00000171320.15
1427947,chr8,RNU6-1276P,27773645,27773748,+,ENSG00000202242.1
1427950,chr8,PBK,27809624,27838082,-,ENSG00000168078.10
1428025,chr8,ENSG00000253176,27838477,27840382,+,ENSG00000253176.3
1428030,chr8,SCARA5,27869883,27992673,-,ENSG00000168079.17
1428108,chr8,MIR4287,27886039,27886116,-,ENSG00000265847.1
1428111,chr8,ENSG00000253290,27903229,27903495,-,ENSG00000253290.1
1428114,chr8,ENSG00000253615,27903566,27903715,+,ENSG00000253615.1
1428117,chr8,ENSG00000253397,27904481,27910310,+,ENSG00000253397.1
1428122,chr8,NUGGC,28021964,28083936,-,ENSG00000189233.12
1428177,chr8,ELP3,28089673,28191156,+,ENSG00000134014.18
1428566,chr8,ENSG00000250516,28225929,28227562,+,ENSG00000250516.1
1428570,chr8,ENSG00000253907,28238430,28238905,+,ENSG00000253907.1
1428573,chr8,ENSG00000253690,28250063,28339255,-,ENSG00000253690.1
1428577,chr8,RPL5P22,28299683,28300566,+,ENSG00000239198.1
1428580,chr8,PNOC,28316986,28343355,+,ENSG00000168081.9
1428617,chr8,ZNF395,28345590,28402701,-,ENSG00000186918.14
1428757,chr8,FBXO16,28348287,28490278,-,ENSG00000214050.8
1428908,chr8,ENSG00000286804,28414499,28416593,-,ENSG00000286804.1
1428912,chr8,ENSG00000254370,28415524,28420055,-,ENSG00000254370.1
1428916,chr8,RNU6-178P,28416448,28416551,+,ENSG00000207361.1
1428919,chr8,ENSG00000253567,28447264,28455902,+,ENSG00000253567.1
1428927,chr8,FZD3,28494205,28574267,+,ENSG00000104290.11
1428978,chr8,MIR4288,28505116,28505182,-,ENSG00000265251.1
1428981,chr8,RNA5SP259,28530411,28530519,+,ENSG00000202411.1
1428984,chr8,ENSG00000290005,28540998,28544966,-,ENSG00000290005.1
1428988,chr8,EXTL3,28600469,28756561,+,ENSG00000012232.10
1429234,chr8,EXTL3-AS1,28690215,28702030,-,ENSG00000246339.6
1429259,chr8,INTS9,28767661,28890242,-,ENSG00000104299.15
1429580,chr8,INTS9-AS1,28798142,28802085,+,ENSG00000254034.2
1429587,chr8,ENSG00000242958,28810103,28810418,+,ENSG00000242958.1
1429590,chr8,HMBOX1,28890395,29064764,+,ENSG00000147421.18
1429856,chr8,Metazoa_SRP,28915579,28915864,-,ENSG00000273710.1
1429859,chr8,HMBOX1-IT1,28949676,28955955,+,ENSG00000259196.1
1429863,chr8,RNA5SP260,29048494,29048604,-,ENSG00000200719.1
1429866,chr8,ENSG00000259366,29055929,29057395,+,ENSG00000259366.3
1429872,chr8,KIF13B,29067278,29263124,-,ENSG00000197892.13
1430088,chr8,ENSG00000259607,29067279,29068454,+,ENSG00000259607.1
1430092,chr8,ENSG00000254129,29110573,29140729,+,ENSG00000254129.1
1430100,chr8,HMGB1P23,29218905,29219472,+,ENSG00000253770.1
1430103,chr8,ENSG00000288735,29288506,29320284,-,ENSG00000288735.2
1430116,chr8,DUSP4,29333064,29350684,-,ENSG00000120875.9
1430145,chr8,ENSG00000285601,29351292,29360222,+,ENSG00000285601.1
1430150,chr8,ENSG00000260253,29352420,29353170,-,ENSG00000260253.1
1430153,chr8,ENSG00000253632,29527312,29530323,+,ENSG00000253632.1
1430157,chr8,ENSG00000288964,29529299,29529922,-,ENSG00000288964.1
1430160,chr8,LINC02948,29548171,29564341,+,ENSG00000253182.1
1430164,chr8,ENSG00000280147,29587001,29588426,+,ENSG00000280147.1
1430167,chr8,RPL17P33,29632091,29632644,+,ENSG00000243844.1
1430170,chr8,LINC00589,29673922,29748109,-,ENSG00000251191.8
1430186,chr8,LINC02099,29748309,29798492,+,ENSG00000253490.5
1430201,chr8,ENSG00000248964,29815004,29854543,-,ENSG00000248964.7
1430213,chr8,ENSG00000254086,29864644,29871661,+,ENSG00000254086.1
1430217,chr8,ENSG00000253604,29905735,29908956,+,ENSG00000253604.1
1430221,chr8,LINC02209,29920560,29953724,+,ENSG00000253279.6
1430241,chr8,MIR3148,29957272,29957348,-,ENSG00000264788.1
1430244,chr8,MAP2K1P1,30027713,30028900,+,ENSG00000254013.1
1430247,chr8,RNU6-1218P,30043801,30043908,-,ENSG00000239175.1
1430250,chr8,SARAF,30063003,30083208,-,ENSG00000133872.14
1430402,chr8,ENSG00000272256,30082758,30083467,+,ENSG00000272256.1
1430405,chr8,ENSG00000289334,30094324,30095370,-,ENSG00000289334.1
1430408,chr8,LEPROTL1,30095408,30177208,+,ENSG00000104660.19
1430526,chr8,RPS15AP24,30117384,30117779,-,ENSG00000241511.1
1430529,chr8,MBOAT4,30131671,30144665,-,ENSG00000177669.4
1430541,chr8,DCTN6-DT,30155828,30156633,-,ENSG00000271869.2
1430544,chr8,DCTN6,30156319,30183639,+,ENSG00000104671.8
1430639,chr8,ENSG00000253708,30176554,30180888,-,ENSG00000253708.1
1430643,chr8,ENSG00000285669,30192429,30201332,+,ENSG00000285669.1
1430648,chr8,ENSG00000272375,30197404,30198048,+,ENSG00000272375.1
1430651,chr8,HSPA8P11,30237382,30240997,+,ENSG00000248159.1
1430657,chr8,ENSG00000254316,30249502,30250092,-,ENSG00000254316.1
1430660,chr8,ENSG00000287590,30279549,30281455,-,ENSG00000287590.1
1430664,chr8,ENSG00000253346,30331961,30332277,-,ENSG00000253346.1
1430667,chr8,PPIAP84,30349866,30350347,-,ENSG00000254152.1
1430670,chr8,TUBBP1,30351873,30353518,+,ENSG00000127589.4
1430675,chr8,RBPMS-AS1,30382119,30385401,-,ENSG00000254109.6
1430693,chr8,RBPMS,30384511,30572256,+,ENSG00000157110.16
1430951,chr8,ENSG00000279041,30552345,30553766,+,ENSG00000279041.1
1430954,chr8,GTF2E2,30578318,30658236,-,ENSG00000197265.9
1431030,chr8,ENSG00000253112,30596914,30597532,+,ENSG00000253112.1
1431034,chr8,SMIM18,30638580,30646064,+,ENSG00000253457.3
1431055,chr8,RNU5A-3P,30643689,30643802,+,ENSG00000254172.1
1431058,chr8,GSR,30678066,30727846,-,ENSG00000104687.14
1431248,chr8,UBXN8,30729131,30767006,+,ENSG00000104691.16
1431389,chr8,HIKESHIP3,30754236,30754539,-,ENSG00000271081.1
1431392,chr8,PPP2CB,30774457,30814314,-,ENSG00000104695.13
1431478,chr8,TEX15,30831544,30913008,-,ENSG00000133863.9
1431549,chr8,ENSG00000253204,30921060,30921335,+,ENSG00000253204.1
1431552,chr8,ENSG00000253793,30983459,30984321,-,ENSG00000253793.1
1431555,chr8,PURG,30995802,31033715,-,ENSG00000172733.12
1431581,chr8,WRN,31033788,31176138,+,ENSG00000165392.11
1431771,chr8,SUMO2P16,31131539,31131802,-,ENSG00000253579.1
1431774,chr8,ENSG00000253961,31167078,31177167,-,ENSG00000253961.1
1431783,chr8,KCTD9P6,31219894,31220984,-,ENSG00000229211.3
1431787,chr8,ENSG00000253377,31275542,31390805,+,ENSG00000253377.2
1431799,chr8,ENSG00000254095,31339197,31346479,+,ENSG00000254095.1
1431811,chr8,ENSG00000253275,31497423,31498612,+,ENSG00000253275.1
1431815,chr8,ENSG00000287204,31536630,31546735,+,ENSG00000287204.1
1431822,chr8,RNA5SP261,31598099,31598204,-,ENSG00000222468.1
1431825,chr8,NRG1,31639222,32855666,+,ENSG00000157168.20
1432496,chr8,ENSG00000286648,31827238,31840709,-,ENSG00000286648.1
1432502,chr8,NRG1-IT1,32026210,32139495,+,ENSG00000253974.6
1432525,chr8,RNA5SP262,32192028,32192153,-,ENSG00000252261.1
1432528,chr8,RNA5SP263,32256496,32256623,+,ENSG00000200246.1
1432531,chr8,NRG1-IT3,32440704,32448803,+,ENSG00000254049.2
1432540,chr8,ENSG00000286131,32647202,32647390,+,ENSG00000286131.1
1432547,chr8,RNU6-663P,32911493,32911598,-,ENSG00000212407.1
1432550,chr8,ENSG00000247134,32927913,33045445,+,ENSG00000247134.8
1432615,chr8,MTND1P6,33014081,33015026,+,ENSG00000254346.2
1432618,chr8,MTND2P32,33015261,33017043,+,ENSG00000254090.1
1432622,chr8,RANP9,33039523,33039793,+,ENSG00000253393.1
1432625,chr8,ENSG00000253993,33226848,33227147,-,ENSG00000253993.1
1432628,chr8,RNU6-528P,33338867,33338966,+,ENSG00000252735.1
1432631,chr8,ENSG00000272338,33360839,33361415,-,ENSG00000272338.2
1432634,chr8,FUT10,33370824,33473146,-,ENSG00000172728.16
1432711,chr8,ENSG00000254061,33436268,33436700,-,ENSG00000254061.1
1432714,chr8,TTI2,33473386,33513185,-,ENSG00000129696.13
1432809,chr8,MAK16,33485182,33501262,+,ENSG00000198042.11
1432870,chr8,SNORD13,33513475,33513578,+,ENSG00000239039.1
1432873,chr8,ENSG00000253232,33523154,33523291,+,ENSG00000253232.1
1432876,chr8,SNORA70,33540040,33540137,+,ENSG00000252505.1
1432879,chr8,RPL10P18,33540185,33540493,+,ENSG00000253995.1
1432882,chr8,RNF122,33547754,33567128,-,ENSG00000133874.2
1432900,chr8,RN7SL621P,33580210,33580508,-,ENSG00000240189.3
1432903,chr8,DUSP26,33591330,33600023,-,ENSG00000133878.9
1432937,chr8,ENSG00000253642,33604856,34039104,+,ENSG00000253642.6
1432957,chr8,BUD31P1,33641581,33641939,-,ENSG00000253684.1
1432960,chr8,RN7SL457P,33715784,33716070,+,ENSG00000263794.2
1432963,chr8,VENTXP5,33722305,33723079,-,ENSG00000253569.1
1432966,chr8,RPL6P22,33859480,33860223,-,ENSG00000240738.1
1432969,chr8,ENSG00000188512,33969567,33969879,-,ENSG00000188512.6
1432972,chr8,ENSG00000254194,33973701,34009595,-,ENSG00000254194.5
1432982,chr8,ENSG00000254302,34174886,34207513,+,ENSG00000254302.2
1432989,chr8,ENSG00000253108,34228439,34346731,+,ENSG00000253108.1
1432996,chr8,ENSG00000254033,34229294,34248946,-,ENSG00000254033.1
1433000,chr8,RPL10AP3,34322992,34323642,-,ENSG00000215264.4
1433003,chr8,LINC01288,34784028,34865364,+,ENSG00000254344.3
1433014,chr8,ENSG00000243181,34874159,34874633,+,ENSG00000243181.2
1433017,chr8,ENSG00000287152,35080592,35093509,+,ENSG00000287152.1
1433021,chr8,UNC5D,35235475,35796550,+,ENSG00000156687.11
1433242,chr8,ENSG00000279099,35254344,35256605,+,ENSG00000279099.1
1433245,chr8,LSM12P1,35525176,35525763,-,ENSG00000232024.2
1433248,chr8,ENSG00000286693,35672195,35707734,-,ENSG00000286693.1
1433254,chr8,ENSG00000253452,35862123,36191194,+,ENSG00000253452.6
1433291,chr8,ENSG00000253524,36004316,36095046,-,ENSG00000253524.1
1433300,chr8,ENSG00000254309,36121398,36121683,-,ENSG00000254309.1
1433303,chr8,MTCYBP19,36277763,36278886,-,ENSG00000253504.1
1433306,chr8,MTND6P19,36278960,36279483,+,ENSG00000254384.1
1433309,chr8,MTND5P41,36279491,36279696,-,ENSG00000253685.1
1433312,chr8,ENSG00000253610,36308245,36308364,+,ENSG00000253610.1
1433315,chr8,RNU6-533P,36309584,36309690,-,ENSG00000206871.1
1433318,chr8,ENSG00000254320,36321039,36321404,-,ENSG00000254320.1
1433322,chr8,ENSG00000253363,36378069,36779209,-,ENSG00000253363.7
1433352,chr8,RPL23P10,36581180,36581591,-,ENSG00000244708.1
1433355,chr8,RNA5SP264,36764445,36764551,+,ENSG00000199985.1
1433358,chr8,KCNU1,36784324,36936125,+,ENSG00000215262.8
1433516,chr8,ENSG00000274489,36795255,36795862,-,ENSG00000274489.1
1433519,chr8,TPT1P8,36887456,36890576,+,ENSG00000219491.7
1433525,chr8,ENSG00000243503,36987977,36988412,-,ENSG00000243503.2
1433528,chr8,ENSG00000254038,37067441,37069418,-,ENSG00000254038.1
1433532,chr8,SMARCE1P4,37095150,37095390,+,ENSG00000253650.1
1433535,chr8,ENSG00000253123,37326575,37331991,-,ENSG00000253123.4
1433551,chr8,ENSG00000253746,37405439,37406724,-,ENSG00000253746.1
1433555,chr8,LINC01605,37421341,37554183,-,ENSG00000253161.7
1433580,chr8,ENSG00000253388,37480089,37480809,+,ENSG00000253388.1
1433584,chr8,LINC01605,37516399,37521447,-,ENSG00000253414.4
1433600,chr8,ENSG00000254111,37559992,37567477,+,ENSG00000254111.3
1433638,chr8,ENSG00000254290,37597480,37599858,-,ENSG00000254290.3
1433644,chr8,ENSG00000254306,37600537,37625873,-,ENSG00000254306.1
1433651,chr8,ENSG00000253344,37626015,37674387,-,ENSG00000253344.1
1433655,chr8,RNU6-607P,37668898,37669005,+,ENSG00000223215.1
1433658,chr8,ZNF703,37695782,37700019,+,ENSG00000183779.7
1433668,chr8,ENSG00000253181,37717579,37733756,+,ENSG00000253181.2
1433677,chr8,ENSG00000183154,37734761,37737426,-,ENSG00000183154.1
1433681,chr8,ERLIN2,37736601,37758422,+,ENSG00000147475.17
1433862,chr8,ENSG00000233170,37747338,37748004,-,ENSG00000233170.4
1433865,chr8,PLPBP,37762595,37779768,+,ENSG00000147471.12
1433953,chr8,ADGRA2,37784191,37844896,+,ENSG00000020181.18
1434047,chr8,BRF2,37843268,37849861,-,ENSG00000104221.13
1434102,chr8,RAB11FIP1,37858618,37899497,-,ENSG00000156675.16
1434168,chr8,ENSG00000280064,37858949,37861333,+,ENSG00000280064.1
1434171,chr8,RN7SL709P,37908738,37909037,+,ENSG00000241032.3
1434174,chr8,GOT1L1,37934281,37940124,-,ENSG00000169154.7
1434216,chr8,ENSG00000285880,37934340,37965953,-,ENSG00000285880.1
1434224,chr8,ADRB3,37962990,37966599,-,ENSG00000188778.6
1434236,chr8,RPL12P48,37983070,37983373,+,ENSG00000270865.1
1434239,chr8,EIF4EBP1,38030534,38060365,+,ENSG00000187840.5
1434255,chr8,ENSG00000260949,38062881,38063791,+,ENSG00000260949.1
1434258,chr8,ENSG00000286677,38082122,38099288,+,ENSG00000286677.1
1434263,chr8,ENSG00000272128,38099471,38099931,+,ENSG00000272128.1
1434266,chr8,ASH2L,38105493,38144076,+,ENSG00000129691.16
1434498,chr8,RNU6-988P,38122374,38122480,+,ENSG00000253437.1
1434501,chr8,ENSG00000240015,38123274,38124651,+,ENSG00000240015.2
1434505,chr8,STAR,38142700,38150992,-,ENSG00000147465.12
1434552,chr8,ENSG00000253356,38148741,38163772,+,ENSG00000253356.1
1434556,chr8,LSM1,38163335,38176730,-,ENSG00000175324.10
1434606,chr8,RNU6-323P,38166012,38166118,-,ENSG00000253739.1
1434609,chr8,BAG4,38176533,38213301,+,ENSG00000156735.11
1434650,chr8,ENSG00000248585,38201699,38204238,-,ENSG00000248585.2
1434656,chr8,ENSG00000285632,38223957,38231695,-,ENSG00000285632.1
1434662,chr8,DDHD2,38225218,38275558,+,ENSG00000085788.14
1434966,chr8,PLPP5,38263130,38269243,-,ENSG00000147535.17
1435129,chr8,NSD3,38269704,38382272,-,ENSG00000147548.17
1435360,chr8,ENSG00000255487,38275888,38276680,+,ENSG00000255487.1
1435364,chr8,ENSG00000254898,38335981,38337551,+,ENSG00000254898.1
1435368,chr8,ENSG00000272092,38382364,38383461,+,ENSG00000272092.1
1435371,chr8,LETM2,38386207,38409527,+,ENSG00000165046.13
1435612,chr8,FGFR1,38400215,38468834,-,ENSG00000077782.22
1436697,chr8,ENSG00000272159,38408048,38408742,-,ENSG00000272159.1
1436700,chr8,ENSG00000255201,38421889,38426096,+,ENSG00000255201.1
1436704,chr8,RPS20P22,38434347,38435664,-,ENSG00000239218.2
1436709,chr8,C8orf86,38510834,38560939,-,ENSG00000196166.5
1436722,chr8,ENSG00000253361,38543276,38560877,-,ENSG00000253361.3
1436752,chr8,RNF5P1,38600661,38601200,-,ENSG00000253570.1
1436755,chr8,ENSG00000289104,38612986,38618534,+,ENSG00000289104.1
1436760,chr8,ENSG00000254321,38699274,38704855,-,ENSG00000254321.2
1436770,chr8,TACC1,38728186,38853028,+,ENSG00000147526.20
1437192,chr8,Y_RNA,38744020,38744131,+,ENSG00000207258.1
1437195,chr8,ENSG00000253586,38799643,38802296,+,ENSG00000253586.1
1437199,chr8,ENSG00000253829,38844866,38846439,-,ENSG00000253829.1
1437203,chr8,PLEKHA2,38901235,38973912,+,ENSG00000169499.15
1437338,chr8,ENSG00000253645,38970360,38973011,-,ENSG00000253645.1
1437342,chr8,HTRA4,38974228,38988663,+,ENSG00000169495.5
1437366,chr8,TM2D2,38988808,38996824,-,ENSG00000169490.17
1437447,chr8,ADAM9,38996754,39105445,+,ENSG00000168615.13
1438549,chr8,SNORD38D,39018615,39018683,-,ENSG00000207199.1
1438552,chr8,ADAM32,39106990,39284917,+,ENSG00000197140.15
1438794,chr8,RPL3P10,39157538,39158701,-,ENSG00000243095.1
1438797,chr8,ENSG00000253160,39309909,39310443,-,ENSG00000253160.1
1438800,chr8,ADAM5,39314591,39417378,+,ENSG00000196115.13
1438932,chr8,ADAM3A,39451045,39522852,-,ENSG00000197475.11
1439100,chr8,ENSG00000254067,39522976,39580134,+,ENSG00000254067.2
1439129,chr8,ADAM18,39584489,39730065,+,ENSG00000168619.16
1439311,chr8,ADAM2,39743735,39838227,-,ENSG00000104755.16
1439501,chr8,RPL7AP80,39860219,39860525,+,ENSG00000253332.1
1439504,chr8,ENSG00000253233,39867436,39867812,-,ENSG00000253233.1
1439508,chr8,IDO1,39902275,39928790,+,ENSG00000131203.13
1439642,chr8,ENSG00000253939,39903775,39995248,-,ENSG00000253939.1
1439647,chr8,ENSG00000253838,39914229,39915721,+,ENSG00000253838.1
1439651,chr8,ENSG00000254287,39918076,39920890,-,ENSG00000254287.1
1439655,chr8,IDO2,39934614,40016392,+,ENSG00000188676.15
1439700,chr8,ENSG00000253790,39997869,39998499,-,ENSG00000253790.1
1439703,chr8,ENSG00000253381,40104169,40107935,+,ENSG00000253381.1
1439707,chr8,LINC02866,40114651,40127468,+,ENSG00000253665.1
1439712,chr8,TCIM,40153482,40155310,+,ENSG00000176907.5
1439720,chr8,ENSG00000254143,40161458,40172612,+,ENSG00000254143.1
1439726,chr8,SIRLNT,40298697,40353133,-,ENSG00000253802.2
1439746,chr8,ENSG00000253354,40369981,40402010,+,ENSG00000253354.2
1439766,chr8,ENSG00000289853,40372572,40457067,+,ENSG00000289853.1
1439771,chr8,ENSG00000272479,40519565,40520158,-,ENSG00000272479.1
1439774,chr8,ZMAT4,40530590,40897833,-,ENSG00000165061.15
1439882,chr8,ENSG00000254383,40900016,40901854,-,ENSG00000254383.1
1439886,chr8,RNU6-356P,41032892,41032998,+,ENSG00000206867.1
1439889,chr8,SFRP1,41261962,41309473,-,ENSG00000104332.12
1439912,chr8,MIR548AO,41271048,41271143,-,ENSG00000263372.1
1439915,chr8,RPS29P2,41271431,41271566,+,ENSG00000239281.2
1439918,chr8,ENSG00000253509,41275115,41277003,-,ENSG00000253509.1
1439922,chr8,RNU6-895P,41298163,41298265,+,ENSG00000206852.1
1439925,chr8,SNORD65B,41426655,41426727,+,ENSG00000238936.1
1439928,chr8,ENSG00000253396,41435298,41440419,+,ENSG00000253396.1
1439933,chr8,GOLGA7,41488200,41511095,+,ENSG00000147533.19
1440388,chr8,GPAT4-AS1,41509593,41578421,-,ENSG00000253133.2
1440394,chr8,KRT18P37,41511240,41512521,+,ENSG00000253943.1
1440397,chr8,GINS4,41529218,41545030,+,ENSG00000147536.12
1440504,chr8,ENSG00000253174,41540381,41545044,-,ENSG00000253174.2
1440511,chr8,ENSG00000287535,41566858,41568641,+,ENSG00000287535.1
1440515,chr8,GPAT4,41577187,41625001,+,ENSG00000158669.11
1440621,chr8,ENSG00000264578,41609692,41621502,-,ENSG00000264578.1
1440625,chr8,NKX6-3,41645177,41650817,-,ENSG00000165066.13
1440646,chr8,ENSG00000289921,41651070,41651809,+,ENSG00000289921.1
1440649,chr8,ANK1,41653220,41896762,-,ENSG00000029534.21
1441117,chr8,MIR486-1,41660441,41660508,-,ENSG00000274705.2
1441120,chr8,MIR486-2,41660444,41660507,+,ENSG00000283450.1
1441123,chr8,ENSG00000253389,41660991,41665566,+,ENSG00000253389.2
1441133,chr8,ENSG00000289514,41797777,41799176,+,ENSG00000289514.2
1441145,chr8,Y_RNA,41803349,41803450,+,ENSG00000207101.1
1441148,chr8,ENSG00000260588,41828165,41829934,-,ENSG00000260588.1
1441151,chr8,RN7SL149P,41840059,41840339,-,ENSG00000241834.3
1441154,chr8,KAT6A,41929479,42051994,-,ENSG00000083168.11
1441493,chr8,ENSG00000238966,42043504,42043575,-,ENSG00000238966.1
1441496,chr8,ENSG00000244235,42101318,42101836,+,ENSG00000244235.2
1441499,chr8,ENSG00000253135,42128774,42129249,-,ENSG00000253135.1
1441502,chr8,ENSG00000271938,42139461,42139752,-,ENSG00000271938.1
1441505,chr8,ENSG00000289603,42140453,42141127,+,ENSG00000289603.1
1441508,chr8,ENSG00000261449,42151772,42152763,-,ENSG00000261449.1
1441511,chr8,AP3M2,42152946,42171673,+,ENSG00000070718.12
1441723,chr8,PLAT,42174718,42207709,-,ENSG00000104368.19
1442108,chr8,IKBKB-DT,42233674,42271266,-,ENSG00000253408.6
1442140,chr8,IKBKB,42271302,42332460,+,ENSG00000104365.16
1442886,chr8,POLB,42338454,42371808,+,ENSG00000070501.12
1443156,chr8,RPL5P23,42341767,42342634,-,ENSG00000240395.1
1443159,chr8,DKK4,42374063,42377229,-,ENSG00000104371.5
1443173,chr8,VDAC3,42391624,42405937,+,ENSG00000078668.14
1443354,chr8,SLC20A2,42416475,42541926,-,ENSG00000168575.10
1443505,chr8,ENSG00000254131,42484600,42485019,+,ENSG00000254131.1
1443508,chr8,ENSG00000254165,42537529,42538304,-,ENSG00000254165.1
1443512,chr8,SMIM19,42541155,42555195,+,ENSG00000176209.12
1443600,chr8,CHRNB3,42697366,42737407,+,ENSG00000147432.7
1443634,chr8,ENSG00000255101,42705583,42721946,-,ENSG00000255101.1
1443639,chr8,ENSG00000255361,42725547,42726228,-,ENSG00000255361.1
1443642,chr8,CHRNA6,42752620,42796392,-,ENSG00000147434.9
1443697,chr8,THAP1,42836674,42843325,-,ENSG00000131931.8
1443730,chr8,ENSG00000286837,42842989,42844876,+,ENSG00000286837.1
1443734,chr8,RNF170,42849637,42897290,-,ENSG00000120925.16
1443872,chr8,RN7SL806P,42881236,42881517,+,ENSG00000242719.3
1443875,chr8,MIR4469,42896197,42896275,-,ENSG00000284062.1
1443878,chr8,HOOK3,42896946,43030535,+,ENSG00000168172.9
1443994,chr8,Y_RNA,42949388,42949495,-,ENSG00000202514.1
1443997,chr8,ENSG00000254673,43018424,43077334,+,ENSG00000254673.1
1444013,chr8,FNTA,43034194,43085788,+,ENSG00000168522.13
1444189,chr8,RNU1-124P,43073474,43073618,+,ENSG00000200731.1
1444192,chr8,POMK,43093498,43131180,+,ENSG00000185900.11
1444337,chr8,ENSG00000254198,43125995,43126397,-,ENSG00000254198.1
1444340,chr8,HGSNAT,43140464,43202855,+,ENSG00000165102.15
1444490,chr8,VN1R46P,43219960,43220809,-,ENSG00000253611.1
1444493,chr8,ENSG00000253884,43246755,43246935,-,ENSG00000253884.1
1444496,chr8,ENSG00000255166,43247191,43247410,+,ENSG00000255166.1
1444499,chr8,ENSG00000253312,43251711,43251858,+,ENSG00000253312.1
1444502,chr8,ENSG00000253186,43253732,43254089,+,ENSG00000253186.2
1444506,chr8,AFG3L2P1,43270198,43271960,-,ENSG00000253606.2
1444509,chr8,ENSG00000234713,43276270,43276823,-,ENSG00000234713.3
1444512,chr8,ENSG00000253707,43284626,43284806,-,ENSG00000253707.1
1444515,chr8,POTEA,43292483,43363518,+,ENSG00000188877.12
